(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B073ZNXGSS,B08JHDVBY2,Bloom City Professional pH Up + Down Control Kit for Optimal Nutrient Uptake (Two 1/2 Pint Bottles) 16 Total oz,"1,441",59,0.98%,1.58%,"1,941",79,0.95%,1.51%,98.12%,100.00%,435,13,30.19%,22.03%,"$8,692.05",$255.87,435,13
B0C73Q3PZL,B0C73RDD6N,"Hibiscus Fertilizer for Tropical and Flowering Plants, Liquid Plant Food 8 oz (250mL)","1,078",17,0.73%,0.46%,"1,480",22,0.73%,0.42%,99.77%,100.00%,433,4,40.17%,23.53%,"$5,191.19",$47.48,422,4
B0C6R5T1W1,B0C6R56WK1,"Bonsai Fertilizer, Liquid Plant Food for Healthy Growth & Strong Roots in All Bonsai Trees, by TPS Plant Foods, 8 oz (250 mL)",967,14,0.66%,0.37%,"1,291",21,0.63%,0.40%,99.38%,100.00%,386,2,39.92%,14.29%,"$4,627.90",$23.74,380,2
B0CQ3LKB81,B0CPGSSJCB,"TPS NUTRIENTS Bird of Paradise Fertilizer for All Strelitzia Plants, Liquid Plant Food 8 oz (250mL)",821,23,0.56%,0.62%,"1,129",27,0.56%,0.52%,99.28%,100.00%,378,13,46.04%,56.52%,"$4,458.60",$154.19,368,12
B073ZPXG4L,B073ZNQWCM,"Bloom City Professional Grade Ultra Pure Cal-Mag Growing Fertilizer, Quart (32 oz)","1,524",34,1.04%,0.91%,"2,079",49,1.02%,0.94%,98.02%,96.43%,371,6,24.34%,17.65%,"$6,629.13",$106.02,367,6
B0BRTHD3SD,B0BRTK1P8Y,"Herb Plant Food for All Edible Herbs, Leafy Greens and Veggies, Liquid Houseplant Fertilizer 8 oz (250mL)",840,11,0.57%,0.29%,"1,201",14,0.59%,0.27%,99.80%,88.89%,345,3,41.07%,27.27%,"$4,124.32",$35.73,341,3
B0C73R9Y77,B0C73PVKDR,"Plumeria Fertilizer for All Frangipani and Tropical Plants, Liquid Plant Food 8 oz (250mL)",866,15,0.59%,0.40%,"1,162",19,0.57%,0.36%,99.61%,100.00%,333,13,38.45%,86.67%,"$3,990.27",$153.47,329,13
B0CQ3JSYVR,B0CPGC9MWC,"Fern Fertilizer for All Ferns and Mosses, Liquid Plant Food 8 oz (250mL)",582,16,0.40%,0.43%,800,23,0.39%,0.44%,99.18%,100.00%,316,5,54.30%,31.25%,"$3,752.15",$59.23,313,5
B0BRTJ2JRK,B0BRTJ3CCV,"Liquid Plant Food for use in AeroGarden, IDOO and Hydroponic Growing Systems, Liquid Fertilizer, 32 oz (1 Quart)",854,27,0.58%,0.72%,"1,048",29,0.52%,0.55%,99.19%,100.00%,302,13,35.36%,48.15%,"$7,542.48",$320.37,295,9
B0CQ3JRR5T,B0CPG8WFD3,"Banana Tree Fertilizer for All Banana Tree Plants, Liquid Plant Food 8 oz (250mL)",855,17,0.58%,0.46%,"1,192",27,0.59%,0.52%,98.95%,100.00%,307,5,35.91%,29.41%,"$3,644.24",$59.23,295,5
B0CQ3JT551,B0CPGR5T5W,"TPS NUTRIENTS Arborvitae Tree Fertilizer for All Arborvitaes, Evergreen Shrubs and Thuja Trees, Liquid Plant Food, 32 oz (1 Quart)","1,585",46,1.08%,1.23%,"2,089",60,1.03%,1.15%,99.78%,100.00%,296,7,18.68%,15.22%,"$7,395.54",$173.43,284,6
